Data	Codice articolo	Prezzo	Qta	Ref operazione
17/07/15	73729	0,15	1	0006/0087/6357/4
17/07/15	73729	0,15	1	0008/0017/4227/6
17/07/15	73729	0,15	1	0010/0087/9822/7
17/07/15	73729	0,15	1	0010/0087/9822/6
17/07/15	73729	0,15	1	0010/0087/9827/17
17/07/15	73729	0,15	1	0010/0087/9829/14
17/07/15	73729	0,15	1	0010/0087/9832/8
17/07/15	73729	0,15	1	0010/0087/9833/4
17/07/15	73729	0,15	1	0008/0017/4233/6
17/07/15	73729	0,15	1	0007/0104/964/39
17/07/15	73729	0,15	1	0007/0104/964/38
17/07/15	73729	0,15	1	0008/0017/4237/5
17/07/15	73729	0,15	1	0007/0104/968/2
17/07/15	73729	0,15	1	0010/0087/9837/4
17/07/15	73729	0,15	1	0010/0087/9840/6
17/07/15	73729	0,15	1	0007/0104/971/30
17/07/15	73729	0,15	1	0010/0087/9842/5
17/07/15	73729	0,15	1	0008/0017/4241/3
17/07/15	73729	0,15	1	0007/0104/973/6
17/07/15	73729	0,15	1	0008/0017/4243/25/MD 3               0
17/07/15	73729	0,15	1	0008/0017/4244/8
17/07/15	73729	0,15	1	0010/0087/9847/8
17/07/15	73729	0,15	1	0008/0017/4245/5
17/07/15	73729	0,15	1	0008/0017/4247/7
17/07/15	73729	0,15	1	0010/0087/9848/5
17/07/15	73729	0,15	1	0010/0087/9849/5
17/07/15	73729	0,15	1	0007/0104/979/6
17/07/15	73729	0,15	1	0010/0087/9852/7
17/07/15	73729	0,15	1	0008/0017/4250/6
17/07/15	73729	0,15	1	0010/0087/9853/2
17/07/15	73729	0,15	1	0008/0017/4253/5
17/07/15	73729	0,15	1	0008/0017/4254/3
17/07/15	73729	0,15	1	0009/0105/7776/7
17/07/15	73729	0,15	1	0008/0017/4259/6
17/07/15	73729	0,15	1	0008/0017/4260/9
17/07/15	73729	0,15	1	0008/0017/4263/8
17/07/15	73729	0,15	1	0009/0105/7778/8
17/07/15	73729	0,15	1	0008/0017/4265/4
17/07/15	73729	0,15	1	0009/0105/7781/3
17/07/15	73925	4,95	1	0007/0104/889/7
17/07/15	73925	4,95	1	0007/0104/889/6
17/07/15	73950	3,95	1	0007/0104/846/2
17/07/15	73984	5,95	1	0007/0104/964/2
17/07/15	73990	2,95	1	0007/0104/889/8
17/07/15	73991	3,95	1	0007/0104/846/3
17/07/15	73991	3,95	1	0007/0104/851/5
17/07/15	74402	12,95	1	0011/0109/3840/12
17/07/15	74428	4,95	1	0008/0017/4180/5
17/07/15	74428	4,95	1	0010/0087/9827/15
17/07/15	74428	4,47	1	0007/0104/979/4/PR265116_1         0
17/07/15	74468	4,95	1	0008/0017/4236/3
17/07/15	74968	9,95	1	0010/0087/9849/4
17/07/15	76096	3,25	1	0010/0087/9856/15
17/07/15	78463	1,85	1	0010/0087/9856/21
17/07/15	78516	1,99	1	0008/0017/4245/17
17/07/15	78516	1,99	1	0008/0017/4245/4
17/07/15	86631	3,95	1	0007/0104/953/1
17/07/15	86818	5,95	1	0011/0109/3806/1
17/07/15	86818	5,95	1	0011/0109/3806/2
